issue_id,customer_id,issue_date,issue_type,resolution_time_hrs,resolved
20001,17,2023-10-22 00:00:00,No Signal,2,Yes
20002,366,2022-09-16 00:00:00,Slow Internet,67,Yes
20003,389,2023-06-26 00:00:00,Call Drop,15,Yes
20004,26,2023-06-14 00:00:00,Slow Internet,21,Yes
20005,213,2022-07-06 00:00:00,No Signal,59,Yes
20006,385,2022-07-31 00:00:00,Call Drop,39,Yes
20007,1,2022-02-04 00:00:00,No Signal,20,Yes
20008,291,2022-05-27 00:00:00,Slow Internet,1,Yes
20009,265,2022-10-09 00:00:00,Slow Internet,9,Yes
20010,343,2023-07-01 00:00:00,No Signal,51,Yes
20011,38,2023-08-11 00:00:00,Call Drop,38,Yes
20012,233,2023-08-07 00:00:00,No Signal,15,Yes
20013,260,2022-09-06 00:00:00,Slow Internet,41,Yes
20014,308,2022-02-26 00:00:00,Call Drop,47,Yes
20015,403,2024-05-18 00:00:00,No Signal,26,Yes
20016,485,2022-11-01 00:00:00,Slow Internet,54,Yes
20017,261,2023-06-06 00:00:00,Call Drop,70,Yes
20018,476,2023-12-26 00:00:00,No Signal,39,Yes
20019,238,2022-12-27 00:00:00,Call Drop,17,No
20020,106,2022-08-25 00:00:00,Slow Internet,70,Yes
20021,247,2022-08-22 00:00:00,No Signal,9,Yes
20022,304,2022-08-11 00:00:00,No Signal,46,Yes
20023,343,2023-09-08 00:00:00,Slow Internet,6,No
20024,447,2022-11-23 00:00:00,Slow Internet,68,Yes
20025,38,2022-04-08 00:00:00,Slow Internet,16,Yes
20026,308,2022-08-14 00:00:00,No Signal,29,Yes
20027,343,2024-01-04 00:00:00,Slow Internet,41,Yes
20028,46,2024-04-15 00:00:00,No Signal,68,Yes
20029,210,2023-05-04 00:00:00,No Signal,62,Yes
20030,93,2023-04-23 00:00:00,Call Drop,40,Yes
20031,220,2022-11-30 00:00:00,Slow Internet,62,Yes
20032,256,2024-03-02 00:00:00,Slow Internet,24,Yes
20033,137,2023-07-09 00:00:00,Call Drop,6,Yes
20034,231,2024-05-12 00:00:00,No Signal,40,Yes
20035,306,2023-05-27 00:00:00,No Signal,70,Yes
20036,202,2023-01-17 00:00:00,No Signal,58,Yes
20037,66,2023-02-27 00:00:00,Slow Internet,14,Yes
20038,461,2022-12-14 00:00:00,No Signal,45,Yes
20039,38,2022-06-02 00:00:00,Call Drop,6,Yes
20040,155,2024-04-30 00:00:00,No Signal,23,Yes
20041,105,2023-03-28 00:00:00,Slow Internet,62,Yes
20042,255,2022-10-17 00:00:00,Slow Internet,17,Yes
20043,404,2024-01-06 00:00:00,No Signal,70,No
20044,488,2022-04-29 00:00:00,No Signal,28,No
20045,446,2022-08-02 00:00:00,Slow Internet,13,Yes
20046,458,2023-07-19 00:00:00,No Signal,29,Yes
20047,16,2024-01-02 00:00:00,Call Drop,45,Yes
20048,79,2023-03-15 00:00:00,Slow Internet,20,Yes
20049,13,2024-01-25 00:00:00,No Signal,58,Yes
20050,370,2023-07-19 00:00:00,No Signal,54,Yes
20051,102,2023-09-21 00:00:00,No Signal,64,Yes
20052,404,2023-03-23 00:00:00,Call Drop,52,Yes
20053,152,2024-04-22 00:00:00,Slow Internet,43,Yes
20054,489,2022-02-11 00:00:00,Call Drop,18,Yes
20055,178,2023-01-30 00:00:00,No Signal,54,Yes
20056,391,2022-09-04 00:00:00,Call Drop,60,Yes
20057,87,2022-10-18 00:00:00,No Signal,71,No
20058,88,2022-09-05 00:00:00,No Signal,1,Yes
20059,29,2023-09-05 00:00:00,Slow Internet,37,Yes
20060,389,2023-08-22 00:00:00,Slow Internet,49,No
20061,363,2024-05-14 00:00:00,No Signal,35,Yes
20062,493,2023-03-25 00:00:00,No Signal,67,Yes
20063,419,2022-03-25 00:00:00,No Signal,35,Yes
20064,321,2024-02-12 00:00:00,Slow Internet,9,Yes
20065,100,2022-08-09 00:00:00,Slow Internet,37,Yes
20066,115,2023-10-28 00:00:00,No Signal,60,Yes
20067,210,2022-02-20 00:00:00,Slow Internet,56,Yes
20068,454,2023-07-04 00:00:00,No Signal,12,No
