usage_id,customer_id,usage_date,data_used_gb,call_minutes,network_type
10001,288,2023-09-20 00:00:00,2.01,49,4G
10002,167,2023-10-25 00:00:00,2.5,134,5G
10003,109,2024-04-29 00:00:00,0.74,117,4G
10004,494,2022-02-19 00:00:00,7.42,59,4G
10005,36,2023-05-17 00:00:00,0.47,124,5G
10006,232,2023-12-19 00:00:00,8.43,115,5G
10007,229,2023-05-13 00:00:00,0.04,172,5G
10008,353,2022-12-01 00:00:00,1.64,186,4G
10009,164,2022-03-20 00:00:00,1.01,87,5G
10010,387,2023-08-05 00:00:00,1.49,202,4G
10011,73,2022-01-27 00:00:00,2.11,181,5G
10012,136,2022-09-28 00:00:00,1.43,167,4G
10013,353,2023-07-16 00:00:00,1.34,180,4G
10014,379,2024-03-14 00:00:00,3.3,299,4G
10015,70,2022-09-04 00:00:00,2.89,129,4G
10016,425,2024-02-15 00:00:00,4.48,148,5G
10017,487,2023-08-14 00:00:00,0.72,208,4G
10018,196,2023-01-22 00:00:00,2.35,110,4G
10019,269,2023-12-03 00:00:00,2.2,136,4G
10020,49,2023-07-13 00:00:00,1.15,210,4G
10021,316,2022-12-27 00:00:00,1.66,145,5G
10022,130,2024-05-15 00:00:00,0.94,83,5G
10023,444,2023-05-03 00:00:00,0.38,29,5G
10024,5,2022-12-18 00:00:00,0.6,64,4G
10025,428,2023-12-02 00:00:00,0.28,23,4G
10026,27,2022-09-13 00:00:00,2.87,210,4G
10027,160,2022-08-10 00:00:00,2.7,221,4G
10028,149,2024-06-02 00:00:00,7.52,89,4G
10029,264,2024-01-23 00:00:00,3.27,105,5G
10030,230,2024-02-20 00:00:00,0.13,171,4G
10031,200,2022-01-01 00:00:00,5.39,229,4G
10032,50,2023-06-30 00:00:00,4.96,76,4G
10033,67,2023-03-22 00:00:00,1.46,67,4G
10034,300,2022-03-20 00:00:00,2.2,91,5G
10035,381,2022-08-24 00:00:00,9.33,87,4G
10036,58,2022-11-30 00:00:00,1.9,49,4G
10037,259,2024-06-07 00:00:00,5.89,102,4G
10038,342,2022-12-15 00:00:00,0.22,45,5G
10039,326,2022-04-08 00:00:00,0.53,178,5G
10040,130,2022-03-23 00:00:00,1.45,266,4G
10041,215,2023-05-17 00:00:00,2.2,267,4G
